model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},-0.006468890127893838,0.008177009224969726,43.89421699390167,2.5577940623157556,64.29313492791715,7.975141068994938,FS_raw_flux4
Ridge,{'alpha': 100.0},0.03465989332535522,0.020635205810650977,43.01238530920691,2.369187671560346,62.963570630039094,7.864355955297761,FS_raw_flux4
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.44184149905836434,0.07313353463736165,33.211100412491696,1.7652296156264862,47.67855816656785,6.084303867610196,FS_raw_flux4
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.5333275358786818,0.10814878966590205,25.343758322188116,2.2419256782312145,43.35292860976844,6.910374228830533,FS_raw_flux4
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.5498010281465423,0.0864066621874125,23.860581019379147,2.2644978914535394,42.72040419168071,6.495892271067816,FS_raw_flux4
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.016336651883709512,0.032168265086663546,40.24477941222934,2.7941790560462,63.622502026980406,8.472887805484483,FS_raw_flux4
LinearRegression,{},-0.005175457073237344,0.004920329152978506,43.84311419328786,2.5458958572729737,64.2619543521549,8.050630593730743,FS_agg_flux1
Ridge,{'alpha': 100.0},0.03525167865800002,0.018404514918996442,42.98534857380394,2.393389936110527,62.95579954015597,7.944419952543725,FS_agg_flux1
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.37127413870156245,0.08656038825467902,35.24319813996521,2.1896469851042952,50.65670101427577,7.083593157073785,FS_agg_flux1
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.45478483446885043,0.20987771825706894,28.54704584861595,2.5873921396738226,46.425805109243015,7.80016162557733,FS_agg_flux1
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.5026758767142863,0.08408550743435432,27.79474310404139,2.422422349068931,44.998802324683275,6.790784571549552,FS_agg_flux1
SVR,"{'C': 1.0, 'epsilon': 1.0}",0.000998450334556226,0.029220685088527237,41.75900443302159,2.782724106781582,64.13002791785739,8.624698009097418,FS_agg_flux1
