model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},0.43930631949961146,0.06776286092015305,31.54329094153675,1.8752076460420788,48.00733853209304,7.3960187923012874,FS_no_time
Ridge,{'alpha': 100.0},0.43969917554061866,0.06613038151793543,31.33854366086491,1.8914173569810906,48.0137733322626,7.4900093281208235,FS_no_time
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.6525965642819881,0.09969178777902862,22.589061951415783,1.4458537777214497,37.38097729809441,7.2106358157569925,FS_no_time
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.6375228822307466,0.1078197314545608,21.587663096450594,1.6515207430285288,38.13813992268049,7.498795690561046,FS_no_time
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 15}",0.6110399141059614,0.09761522522583184,23.713728992816844,1.5139315615040987,39.59646664053309,6.9403398086814905,FS_no_time
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.4849887719152113,0.08141512333197225,27.65345656345277,2.229576192804497,46.20959875149562,8.898382741216992,FS_no_time
LinearRegression,{},0.4446822251530121,0.06622906524213004,31.513073171184306,1.8391765055573257,47.73646799645509,7.086484779829894,FS_with_time
Ridge,{'alpha': 100.0},0.44556945717070906,0.06432358880399681,31.29689238807678,1.842964199474967,47.72382900843603,7.189665544272338,FS_with_time
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.6584035832592324,0.10007537813331857,22.202720956815874,1.400663658690329,37.04253841774947,7.1766367113936775,FS_with_time
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.6431019783740246,0.11726006202528427,21.01506811482973,2.0463417529908865,37.78875165125446,8.024343348639453,FS_with_time
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.6238883390129366,0.10344820074617579,21.377854346633363,1.7760241188448338,38.906287572560146,7.361220144409512,FS_with_time
SVR,"{'C': 10.0, 'epsilon': 0.5}",0.46159376715654366,0.06249771235843988,29.08064393041928,2.043928818399469,47.16905671444968,7.9537348143795645,FS_with_time
