model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},0.16347302512925627,0.07726108752413369,40.49506470879731,1.9861147220322908,58.422755836603024,6.725547553119408,FS1_Lot_only
Ridge,{'alpha': 100.0},0.16575237135033793,0.07072294422945191,40.42595448423898,2.009904209826287,58.37244494925489,6.816470901311851,FS1_Lot_only
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.1667542840916359,0.07279220183982714,40.462068848059154,2.114826491764471,58.327212038219955,6.77703309578159,FS1_Lot_only
XGBoost,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.16819880370116025,0.07101735404283332,40.37433240105782,2.0643275016514857,58.28582255124958,6.800999202870899,FS1_Lot_only
LightGBM,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15}",0.16426286721944852,0.0764619152113631,40.451043878287514,2.002467116732095,58.399868125384664,6.743734987158732,FS1_Lot_only
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.12666024070074386,0.06483450736926379,39.745467701473764,2.419535204260927,59.79474885001254,7.3561954201129955,FS1_Lot_only
LinearRegression,{},0.16334512286925318,0.07663430558062256,40.549132725075005,2.0140215937098533,58.4268415395565,6.710490217592113,FS2_Lot_plus_UVtype
Ridge,{'alpha': 100.0},0.1654699776729417,0.07077660858670343,40.457398088492404,2.0290204696896326,58.38063276134861,6.803819395274676,FS2_Lot_plus_UVtype
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.16608928756313457,0.07348404252020714,40.49848442332425,2.1074924280926446,58.346326596046445,6.754966677259097,FS2_Lot_plus_UVtype
XGBoost,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.16495888719813548,0.06793530818581023,40.542999506012606,2.11438604012302,58.41212358713092,6.8417496004027,FS2_Lot_plus_UVtype
LightGBM,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15}",0.16783493425647217,0.0756335609937659,40.44737121982114,2.01651924653608,58.27529906201914,6.727165585704891,FS2_Lot_plus_UVtype
SVR,"{'C': 10.0, 'epsilon': 0.5}",0.12248352609389919,0.0659669759168516,39.72626796329932,2.3723284397010094,59.932761039651005,7.338671710951927,FS2_Lot_plus_UVtype
