model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},0.021019574015534618,0.02135057790031761,44.046356595637555,2.5072408421480854,63.36665571815248,7.599317751097736,FS_thickness
Ridge,{'alpha': 100.0},0.022197123215750396,0.019303719582423523,43.94833812071915,2.5093693587169525,63.336514668909096,7.650666815559229,FS_thickness
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.22164847246358174,0.11712710645628412,39.53266509928823,2.286834377802052,56.157306367313446,6.563602313218999,FS_thickness
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.19287032957154507,0.09187104645335699,40.029756996137664,2.797937468174618,57.44014892326743,7.764084748608101,FS_thickness
LightGBM,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}",0.17830108503198924,0.07353288531901221,40.575255253322375,2.195216979329527,57.86426138637113,6.327973224586003,FS_thickness
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.012748036708402537,0.02984846240709249,41.82786908773561,2.581975209008617,63.64716467751487,7.795821585580151,FS_thickness
LinearRegression,{},0.021019574015534122,0.021350577900318538,44.04635659563774,2.507240842148046,63.36665571815248,7.599317751097689,FS_specgap
Ridge,{'alpha': 100.0},0.022197123215750417,0.019303719582423523,43.94833812071915,2.509369358716953,63.336514668909096,7.650666815559229,FS_specgap
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.2231289748791422,0.11977608518565852,39.524377506889444,2.2650314118588155,56.09304260103341,6.52815854241126,FS_specgap
XGBoost,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.17679080438946534,0.09500559609902041,40.64648062262196,2.238136975078991,57.899092670760226,6.749515169335764,FS_specgap
LightGBM,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}",0.1842334606292452,0.06848931159270026,40.322837501212014,2.1220168975951412,57.673636950197746,6.342069511092145,FS_specgap
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.012748036708402567,0.02984846240709261,41.82786908773561,2.5819752090086183,63.64716467751487,7.795821585580153,FS_specgap
