model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},-0.004655449495118735,0.007588317238280124,43.83060533806748,2.575448225885734,64.23755781423185,7.9850638265931435,FS_naive_NaN
Ridge,{'alpha': 100.0},0.2584338081670393,0.04826736403760311,37.58063296067572,1.6248901136299851,55.184790001027004,7.235479885932742,FS_naive_NaN
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.4890210278381047,0.08687295683345787,29.890106262595843,1.711162521973739,45.50702803494569,6.028328352396688,FS_naive_NaN
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.5062615193104935,0.09592089431282837,27.55429512226906,1.7172823003221984,44.76571774583752,7.000752506136836,FS_naive_NaN
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.47933478678153335,0.10649357336149334,29.286703004495678,1.5791218067777655,45.84541648857326,6.459293936339742,FS_naive_NaN
SVR,"{'C': 10.0, 'epsilon': 0.5}",0.2658343354021408,0.05322918210510378,35.02036348675776,2.495198210271295,55.05901134177152,8.38212416247984,FS_naive_NaN
LinearRegression,{},-0.0045246240070692485,0.0076646449385312,43.833508531212004,2.574592511697175,64.23432425905551,7.99103458772275,FS_flagged_preserved
Ridge,{'alpha': 100.0},0.2606183205951134,0.04700523367272863,37.46235984071123,1.6443148970563604,55.105334441320245,7.217766961905337,FS_flagged_preserved
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.4976009636626102,0.09011504655875262,29.742074599247097,1.585126861241665,45.108103129448274,6.1183616907712155,FS_flagged_preserved
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.510190437250234,0.0977347289115316,27.65731212504102,1.5518995306693713,44.550443615384374,6.863428391226251,FS_flagged_preserved
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.4885337033552281,0.10356531981415569,29.059141621171076,1.8755842737624984,45.40563886445148,6.147720307284315,FS_flagged_preserved
SVR,"{'C': 10.0, 'epsilon': 0.5}",0.2644348497727051,0.0531464267371038,35.47492790104424,2.486417629842064,55.09597696861295,8.270456928836595,FS_flagged_preserved
