model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},-0.006468890127893838,0.008177009224969726,43.89421699390167,2.5577940623157556,64.29313492791715,7.975141068994938,FS_raw_2temps
Ridge,{'alpha': 100.0},0.03465989332535522,0.020635205810650977,43.01238530920691,2.369187671560346,62.963570630039094,7.864355955297761,FS_raw_2temps
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.44184149905836434,0.07313353463736162,33.211100412491696,1.7652296156264848,47.67855816656785,6.084303867610197,FS_raw_2temps
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.5333275358786818,0.10814878966590205,25.343758322188116,2.2419256782312145,43.35292860976844,6.910374228830533,FS_raw_2temps
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.5498010281465423,0.0864066621874125,23.860581019379147,2.2644978914535394,42.72040419168071,6.495892271067816,FS_raw_2temps
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.016336651883709512,0.032168265086663546,40.24477941222934,2.7941790560462,63.622502026980406,8.472887805484483,FS_raw_2temps
LinearRegression,{},-0.006468890127893852,0.008177009224969705,43.89421699390167,2.5577940623157547,64.29313492791715,7.975141068994938,FS_diff_1
Ridge,{'alpha': 100.0},0.03370306988602865,0.019533200410360278,43.10510403520405,2.3465968696824016,63.00023564378613,7.907077788946211,FS_diff_1
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.4339398156401175,0.07685992799899774,33.467763612942925,1.8285597366022486,48.015426437485445,6.253253775111583,FS_diff_1
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.5369939419252422,0.10434984647951247,25.67344357470431,2.1361810510707806,43.18289447114005,6.608073573411631,FS_diff_1
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.5388877783499748,0.08337928388351834,24.33827639710011,2.2755030206887996,43.26494757309879,6.4513349771751605,FS_diff_1
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.02133346500194079,0.03137862265858308,39.94377333574972,2.805113071712269,63.46694707501198,8.489366761636049,FS_diff_1
