model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},0.04479132030196014,0.03096229179229585,43.259909379307445,2.3543832206343747,62.610836570366544,7.73894447329927,FS_no_gap
Ridge,{'alpha': 100.0},0.04523003378493082,0.02861260931886152,43.204811676996044,2.3646365852124247,62.602993869854764,7.770518369624876,FS_no_gap
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.334232208798765,0.08304797036336549,36.263912259449846,2.139268698097384,52.109633059766544,6.8132401611580455,FS_no_gap
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.30361546806806217,0.1122123329216912,35.294358771531,2.2778523818738843,53.155024131404836,7.042763821095409,FS_no_gap
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.3342374080835281,0.0853187975577471,35.95212819639865,2.14998551727124,52.00310146416591,5.9775473887429795,FS_no_gap
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.04647897422546492,0.037132163472643774,41.05921158818079,2.5583162636460104,62.62330934184286,8.300553972167956,FS_no_gap
LinearRegression,{},0.0442130621246158,0.03170023157730178,43.27845159539907,2.3455225795301327,62.62648322473958,7.719894294950699,FS_with_gap
Ridge,{'alpha': 100.0},0.04473293421116304,0.02924314876066922,43.22719460594405,2.356096860110311,62.61631414762979,7.752682689062306,FS_with_gap
RandomForest,"{'max_depth': 10, 'n_estimators': 300}",0.3332395921804905,0.08339562692158335,36.27003126910912,2.1547381533633674,52.14769504962779,6.820225240524293,FS_with_gap
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.30537364775678555,0.10005171785547691,35.551583516278455,2.2141187663070716,53.13113689344359,6.788776751347727,FS_with_gap
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.3406607806942315,0.08237113552893881,35.63813646283479,2.341288685710164,51.760811310572855,5.885408326141328,FS_with_gap
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.044335725271519404,0.03781772771588038,41.0768499670777,2.6157661381368493,62.702323501380015,8.37821148632045,FS_with_gap
